date,sleep_hours,steps,exercise_minutes,water_liters,calories,protein_g,stress_level,resting_heart_rate,bmi,wellness_score
2026-07-11,7.62,4702,58.1,2.03,1829,103.1,4.1,90.4,25.3,66.0
2026-07-12,8.66,9438,55.5,1.98,3133,75.0,7.7,61.4,19.1,74.46
2026-07-13,8.16,8368,22.9,2.68,1992,86.2,6.3,60.2,22.2,88.97
2026-07-14,7.5,12841,61.5,2.44,2175,101.2,5.7,72.6,28.0,75.15
2026-07-15,8.67,8524,56.0,2.66,1697,116.2,7.2,79.7,20.3,71.3
2026-07-16,7.5,8452,44.0,2.3,2747,103.0,6.2,69.5,26.1,69.24
2026-07-17,7.85,7232,26.8,2.58,2542,126.5,7.6,73.0,22.0,78.97
2026-07-18,6.83,9396,24.8,2.07,2254,92.6,7.0,56.1,25.1,74.77
2026-07-19,7.16,8975,31.2,3.53,1679,86.7,8.2,64.3,26.8,81.45
2026-07-20,6.47,10353,52.9,1.44,2224,162.6,5.9,61.5,25.7,68.67
2026-07-21,7.99,6453,22.9,2.99,1757,104.9,7.0,55.7,26.2,81.3
2026-07-22,6.04,6642,50.8,3.05,2662,77.0,4.6,69.8,20.0,70.34
2026-07-23,7.8,6545,17.2,1.83,2433,77.6,4.0,53.3,26.8,74.83
2026-07-24,6.93,9339,37.9,3.53,2183,71.4,8.6,59.7,20.9,71.79
2026-07-25,8.15,10896,44.2,2.85,1400,118.4,5.6,65.2,24.3,89.0
2026-07-26,7.78,6590,90.9,2.83,1806,85.9,6.8,63.2,24.3,82.12
2026-07-27,8.74,6665,14.5,2.32,2391,98.2,5.4,71.8,25.0,69.82
2026-07-28,7.76,8290,71.4,2.18,2575,93.4,4.0,71.1,24.5,80.93
2026-07-29,5.69,7059,45.0,2.18,2538,113.3,5.2,75.3,21.0,62.32
2026-07-30,7.04,9694,50.2,2.51,1593,73.8,8.1,74.3,19.5,69.38
2026-07-31,6.05,2646,44.4,3.07,2256,68.1,6.3,77.0,26.1,56.18
2026-08-01,6.63,5781,50.9,2.4,2505,100.6,1.8,69.0,24.1,68.22
2026-08-02,8.46,5878,38.9,1.8,1570,110.0,4.8,71.1,26.9,72.41
2026-08-03,7.67,2495,71.1,2.75,2147,103.3,8.8,72.6,23.4,71.14
2026-08-04,6.47,5479,32.9,2.81,2246,74.8,4.8,70.0,19.3,66.08
2026-08-05,6.19,5586,64.6,2.66,2045,111.9,1.6,66.2,26.4,74.46
2026-08-06,7.13,7157,29.1,2.71,1502,76.4,9.0,66.7,22.4,69.68
2026-08-07,6.01,10048,40.8,2.15,2036,82.0,6.6,63.3,24.5,71.38
2026-08-08,6.5,7060,20.6,1.79,2035,71.4,5.1,72.0,21.6,64.01
2026-08-09,7.38,5332,51.1,1.82,2098,127.5,4.5,68.3,28.4,67.32
2026-08-10,8.14,7474,70.9,1.4,1953,110.8,7.4,64.4,20.9,78.75
2026-08-11,7.65,9908,40.5,2.43,1995,110.1,4.1,64.4,22.5,84.23
2026-08-12,5.04,5452,38.1,2.25,2136,126.2,7.5,60.5,23.8,67.43
2026-08-13,7.37,5596,19.7,2.06,2305,165.3,6.3,75.9,20.2,67.75
2026-08-14,7.16,8828,37.4,0.8,2043,52.3,5.7,69.6,24.5,63.68
2026-08-15,7.47,7112,10.1,1.61,2007,76.5,5.5,63.0,28.3,72.74
2026-08-16,8.55,9024,23.7,2.92,2182,79.6,4.9,74.7,22.0,79.42
2026-08-17,5.24,7569,46.5,1.93,1478,73.7,7.3,65.1,24.7,62.8
2026-08-18,6.57,9143,68.4,2.5,2317,68.1,3.5,59.2,17.0,81.35
2026-08-19,7.63,5322,98.2,1.54,2150,87.5,2.0,76.1,23.4,72.0
2026-08-20,5.68,7573,30.3,3.09,2164,64.6,6.4,65.2,22.6,67.65
2026-08-21,8.43,7136,70.7,2.22,2486,103.4,6.5,66.1,21.0,76.64
2026-08-22,7.43,4925,46.9,2.46,1467,96.3,6.2,69.3,26.7,65.67
2026-08-23,7.86,4160,39.0,3.58,1459,107.0,6.0,77.0,22.5,71.7
2026-08-24,6.59,9108,50.7,3.13,2246,107.7,4.6,69.1,23.0,82.1
2026-08-25,7.83,6827,43.2,2.13,2148,110.1,6.8,60.6,22.4,78.97
2026-08-26,8.06,5350,44.2,1.97,2210,85.7,5.1,72.8,17.7,66.67
2026-08-27,7.31,7388,33.8,2.12,1988,148.0,4.2,65.6,20.1,72.33
2026-08-28,7.31,10081,14.0,2.58,2383,100.9,4.6,82.2,26.4,77.33
2026-08-29,7.34,2582,11.1,2.24,2476,48.4,9.2,69.0,17.2,57.61
2026-08-30,6.32,4307,55.1,2.08,2319,69.9,1.7,53.4,21.2,67.85
2026-08-31,6.97,5569,36.5,3.11,2059,51.5,6.2,71.5,22.3,68.69
2026-09-01,6.96,10814,30.1,2.24,1412,95.4,1.8,82.6,28.7,67.18
2026-09-02,7.45,8221,42.2,3.56,2419,92.0,5.0,80.0,25.8,78.15
2026-09-03,8.0,9288,57.9,2.35,2578,83.3,4.3,81.8,21.8,77.14
2026-09-04,6.15,5091,45.6,3.28,2376,145.3,1.0,61.9,27.4,79.11
2026-09-05,6.99,5137,28.9,2.5,1842,108.7,6.0,75.4,21.3,68.07
